param,train,test,seed,time
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8160909145716526,0.8162748643761302,915,886.6426901817322
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(2.333333333333333), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8140863326701634,0.8218806509945751,138,882.51713514328
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.816919877012118,0.8079566003616636,237,875.5578689575195
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8136793874721167,0.8209764918625678,748,949.8017210960388
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(6.666666666666667)}",0.815246880086815,0.8195298372513562,68,1011.9403598308563
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.814945439199373,0.8141048824593128,150,920.8078169822693
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8140712606257913,0.8202531645569621,911,1033.7448501586914
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8143576294688611,0.8139240506329114,621,1180.4653317928314
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8147042864894194,0.822242314647378,392,1048.7512719631195
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8155935371073731,0.8142857142857143,625,947.0662260055542
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(2.333333333333333), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.8163772834147225,0.8088607594936709,963,851.5369930267334
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8162868511484898,0.8097649186256781,157,905.1057858467102
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(2.333333333333333), 'max_depth': np.int64(6), 'reg_lambda': np.float64(6.666666666666667)}",0.8152468800868149,0.813381555153707,30,959.9909899234772
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8124585518779767,0.8300180831826401,268,966.230856180191
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8150509435099776,0.8135623869801085,436,1026.9894590377808
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8141616928920239,0.8195298372513562,875,1008.6577529907227
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(2.333333333333333), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8159100500391874,0.8132007233273056,653,937.749685049057
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8162717791041179,0.8130198915009041,602,970.947506904602
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.8159854102610479,0.8126582278481013,797,1029.4085369110107
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.8163622113703504,0.8171790235081374,517,952.7858572006226
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.8145384940013264,0.820614828209765,932,985.0272359848022
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8156538252848616,0.8153707052441229,85,816.1681048870087
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8155031048411406,0.8137432188065099,874,793.6384649276733
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.816166274793513,0.8171790235081374,75,932.7776629924774
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(6.666666666666667)}",0.8158949779948153,0.8137432188065099,673,936.863920211792
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8145686380900705,0.8177215189873418,822,935.2521159648895
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(6.666666666666667)}",0.815548320974257,0.8139240506329114,299,920.4781980514526
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8170253813227225,0.8168173598553345,405,950.6333739757538
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(6.666666666666667)}",0.8160306263941641,0.8144665461121158,181,981.6141672134399
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(8.333333333333334)}",0.8159251220835594,0.8141048824593128,211,939.4197640419006
