param,train,test,seed,time
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7949656328405864,0.791981845688351,490,318.6183910369873
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.7950498166081813,0.7919097627382341,60,302.4586877822876
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7961621512921072,0.7934207949872724,775,321.2013430595398
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(7.5)}",0.7949520053215117,0.7871731246421073,394,304.02981400489807
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.7931204310421524,0.8005443234836703,305,281.6106472015381
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.7943048859422664,0.8013180849001744,844,280.208518743515
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.7923125438946539,0.798941798941799,431,316.1741020679474
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.79634752605723,0.7912942090944423,883,313.6408100128174
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7932002245868154,0.8017090697222762,874,308.6755020618439
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(10.0)}",0.7939659543500839,0.7909906470700515,212,268.0344798564911
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.7928471044219886,0.798848368522073,513,265.69414019584656
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7932766331493025,0.8026692087702574,870,310.34935212135315
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(5.0)}",0.7980909871264071,0.7834047526295286,993,303.77152371406555
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(7.5)}",0.7914662412338402,0.8022770398481973,617,305.9757010936737
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7927446555268588,0.7987135830495649,23,303.03619408607483
"{'colsample_bytree': np.float64(0.505), 'gamma': np.float64(1.0), 'max_depth': np.int64(9), 'reg_lambda': np.float64(10.0)}",0.7951794235171248,0.7856049004594181,952,301.47007989883423
