param,train,test,seed,time
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8877193353394804,0.810834963119227,891,844.4405479431152
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8881116424556984,0.8063033688389752,659,859.6765859127045
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.886936163320873,0.8140783800431167,249,897.2981989383698
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.885040914310526,0.8235825204821747,135,922.6447849273682
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8860896130957996,0.8148893594400268,188,1017.2217190265656
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8867323992299784,0.8174931110559132,319,919.2107529640198
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8880427975760914,0.8106070515208466,204,1093.1827039718628
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8865175849823411,0.8131406147809027,193,1075.7168560028076
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8878163212392267,0.8067616797591919,60,941.6697731018066
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8872062240957226,0.8071846297892091,772,946.6722702980042
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.887665045421943,0.814187786671628,557,823.1774871349335
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8858146155248934,0.8194257684761282,414,1651.7601039409637
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8838116242784773,0.8216646713025039,117,972.6484689712524
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8852971230211587,0.8191668942883186,999,915.9324169158936
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8872289430148665,0.8177053083222144,260,937.6982021331787
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8861731907309005,0.8150315805004535,486,942.1835758686066
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8883477724589254,0.8088516383108217,257,970.456591129303
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8871277428329908,0.8183691525608183,505,907.760311126709
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(7), 'reg_lambda': np.float64(5.0)}",0.8855842805703964,0.8121229633957033,572,912.6436011791229
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8867403510803965,0.8164366407053606,657,1002.705096244812
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8883505360114902,0.8105377527357012,896,918.8714587688446
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8854201262437422,0.8144745214264485,676,772.0077140331268
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8874856681843575,0.8145220147926513,83,925.7666428089142
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8848574838230056,0.8236074398931806,419,903.2457830905914
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8866746847944907,0.8151879993109367,930,907.7114198207855
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8867969144644198,0.8163129928349183,476,904.5847361087799
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8852948491307989,0.8230104215391731,649,901.6385669708252
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8864724971258404,0.8185441069885329,712,940.1011009216309
"{'colsample_bytree': np.float64(0.34), 'gamma': np.float64(1.0), 'max_depth': np.int64(8), 'reg_lambda': np.float64(5.0)}",0.8859286973912126,0.8204946491748522,70,899.3403840065002
"{'colsample_bytree': np.float64(0.67), 'gamma': np.float64(1.0), 'max_depth': np.int64(6), 'reg_lambda': np.float64(5.0)}",0.8849667127450437,0.8204056998267072,922,588.2431001663208
