param,train,test,seed,time
"[1, 8, 6.819248120449235, 0.45633936302515865]",0.8155784650630011,0.8202531645569621,456,372.27504086494446
"[2.2880765314602733, 6, 6.269509297970286, 0.46908602472683925]",0.8148700789775126,0.8141048824593128,939,341.06851983070374
"[1.241872503515693, 8, 5, 0.4057930574515751]",0.8155181768855128,0.8189873417721519,454,414.6881580352783
"[1, 7, 7.486524371664252, 0.5562259901191133]",0.8157442575510943,0.8177215189873418,362,389.78177309036255
"[1, 6, 6.174653645540602, 0.5082051744506014]",0.8141767649363961,0.8233273056057866,861,336.5392608642578
"[1, 7, 8.933861500589037, 0.403178790470725]",0.8144329896907216,0.8141048824593128,595,375.7325358390808
"[1.871005999081823, 7, 8.543874536693002, 0.28429818963569886]",0.8129860734310002,0.8227848101265823,270,285.3502459526062
"[1, 8, 5.041507073199526, 0.40518554111748084]",0.8168294447458854,0.8124773960216998,619,359.8087270259857
"[1.7695719440463118, 8, 6.5810057926548975, 0.47062936845122855]",0.8146138542231868,0.8179023508137432,364,376.7019999027252
"[1.6963224566610786, 8, 9.869342254934413, 0.48106290879530117]",0.8142671972026286,0.8151898734177215,403,359.9435918331146
"[1, 8, 5.140193022356655, 0.3726713160856995]",0.8142370531138844,0.8197106690777577,502,299.25895500183105
"[1.605862354579826, 7, 7.874267609878086, 0.558720190076886]",0.8156086091517454,0.8146473779385172,54,308.4825668334961
"[1.067897162244032, 6, 5.9533955298964205, 0.5269763426967098]",0.8154428166636523,0.8169981916817359,258,351.188600063324
"[1, 7, 5.744078169822556, 0.6317472626088504]",0.8138150358714656,0.8269439421338155,28,378.3747179508209
"[1, 8, 5.087094545075955, 0.4350063297787703]",0.8176282630976065,0.8122965641952984,153,379.6605381965637
"[1, 7, 8.509536746527768, 0.6166539922433494]",0.817387110387653,0.8103074141048825,977,363.5152862071991
"[1.046151671208552, 8, 5, 0.34583078800480804]",0.8162114909266294,0.8126582278481013,949,369.09659910202026
"[1, 8, 5, 0.44846175503027]",0.8144028456019774,0.8227848101265823,973,381.4036612510681
"[1, 7, 5.643177256648671, 0.6155976608659387]",0.814508349912582,0.8227848101265823,63,358.03141474723816
"[1, 7, 5, 0.3556925580162836]",0.8153071682643034,0.8164556962025317,859,321.9375228881836
"[1.7541225341355826, 8, 5.09433716042611, 0.4795606680162126]",0.816919877012118,0.8132007233273056,892,332.77951312065125
"[1.3744827037922709, 6, 5.5183756251295275, 0.6335064008750013]",0.815231808042443,0.8197106690777577,474,343.8274939060211
"[1, 7, 5.226153190690094, 0.4585042227122165]",0.8168143727015132,0.8141048824593128,717,365.2478039264679
"[1, 8, 5.16393889704904, 0.296166524953917]",0.8171761017664436,0.8115732368896926,755,375.34340238571167
"[1.3235719605971599, 6, 5.041633317870255, 0.6368241046633512]",0.8166787243021644,0.813381555153707,29,331.9207601547241
"[1, 7, 5, 0.5521505700029665]",0.8157744016398385,0.8146473779385172,665,348.0976870059967
"[1, 8, 5, 0.39928744610966815]",0.8152770241755593,0.8179023508137432,387,385.5975000858307
"[1, 7, 5.568671748684074, 0.3974120696412314]",0.8163622113703503,0.8146473779385172,795,325.01708006858826
"[1, 5, 7.506115069549272, 0.8616800266358546]",0.815246880086815,0.811754068716094,397,296.4358241558075
"[1, 7, 7.807166946540546, 0.6372988191402569]",0.8152770241755591,0.8180831826401447,258,356.9911081790924
