param,train,test,seed,time
"[1, 8, 9.80186715538198, 0.4663792831156184]",0.7957992570227878,0.8016274864376131,694,1213.500757932663
"[1, 8, 8.351600493836205, 0.5520658302440374]",0.7959244661236039,0.8088607594936709,17,1189.3010737895966
"[1, 8, 5.077427429879633, 0.34881140531859034]",0.7976665543827463,0.7962025316455696,429,1154.022824048996
"[1, 8, 7.0347664998355945, 0.27308763251048535]",0.7985816734371854,0.8048824593128391,923,1155.6712009906769
"[1, 8, 5.404683926218321, 0.47547289872554543]",0.7935842714823604,0.8094032549728752,726,1307.8281581401825
"[1.0976199121215513, 8, 8.084949244767005, 0.3762145987681951]",0.7986446588614267,0.8059674502712477,150,1264.9390370845795
"[1.0044140276322617, 8, 7.214706795373486, 0.6000352903467707]",0.7952094922225528,0.8019891500904159,662,1466.4803771972656
"[1, 8, 7.057389281701772, 0.4645723605155165]",0.7972886300790589,0.8054249547920433,547,1595.7004680633545
"[1, 8, 5, 0.4407806347058538]",0.7937794011571514,0.8141048824593128,532,1390.7604870796204
"[1, 8, 7.1156535553169515, 0.40920491637592593]",0.7957536016606439,0.8066907775768535,481,1272.0060782432556
"[1, 8, 5, 0.43402920279523227]",0.7956446561407968,0.7998191681735985,801,1169.314768075943
"[1, 8, 7.220751406327694, 0.49698387884277767]",0.7961285475688522,0.8065099457504521,939,2043.098505973816
"[1, 8, 5.080814982485985, 0.48808646963809343]",0.7943621576211062,0.8097649186256781,943,1349.3157608509064
"[1.0066005467737338, 8, 5.650996281063764, 0.399433161357847]",0.7957806083486157,0.8056057866184448,542,1238.9666187763214
"[1, 8, 10, 0.4679072433511906]",0.7954359844577713,0.8065099457504521,908,1386.4493701457977
"[1, 8, 5.837137585803214, 0.3862542969366414]",0.7966259293384703,0.8063291139240506,181,1358.2695481777191
"[1.0114003560362999, 8, 10, 0.4358184382987666]",0.7973830074611615,0.8137432188065099,746,1391.8189029693604
"[1.1226427351459847, 8, 10, 0.4890619195907706]",0.7959981043122986,0.8063291139240506,693,1344.0369408130646
"[1, 8, 9.787187666022973, 0.5573913473078689]",0.7958599715709475,0.8061482820976492,60,1316.0827996730804
"[1, 8, 5.3855240797974835, 0.27954487449065896]",0.7966033827195875,0.8018083182640144,965,1292.8149230480194
"[1, 8, 5.037414067309019, 0.3664741610442596]",0.7948127413008749,0.8099457504520796,964,1105.344318151474
"[1, 8, 7.482850434621103, 0.42908875849496214]",0.794844680277466,0.8039783001808318,29,1118.5652418136597
"[1.6855553714252312, 8, 10, 0.4375774134655197]",0.7953689989095653,0.8037974683544303,115,1258.1952183246613
"[1, 8, 10, 0.40851099816872544]",0.7967102270670473,0.7998191681735985,302,1260.067549943924
"[1.0151883933618533, 8, 5.5398810555814935, 0.3576508702671336]",0.7937281758961342,0.8104882459312839,468,1236.4696769714355
"[1, 8, 5, 0.3601084855111899]",0.7945079038046649,0.8047016274864376,740,1235.7886278629303
"[1, 8, 5.028004199250817, 0.41817378088815066]",0.7967676374415826,0.8048824593128391,622,1301.3891248703003
"[1.033336921852726, 8, 10, 0.4728887781463648]",0.794855378374092,0.8162748643761302,742,1326.6725780963898
"[1, 8, 7.910019004268831, 0.3584766422132002]",0.7949528524260261,0.8057866184448463,723,834.4682829380035
"[1.0449672295816346, 8, 7.575995404961563, 0.380562723071036]",0.7921138982342427,0.8124773960216998,415,467.5850760936737
