param,train,test,seed,time
"[1, 7, 6.139344667957834, 0.5602123290047113]",0.8870333345886191,0.8104882459312839,353,391.7701919078827
"[1, 6, 6.680170411225335, 0.64613517063199]",0.88677133280434,0.8088607594936709,539,346.98552083969116
"[1, 7, 5, 0.4492000822784069]",0.8888213699883873,0.8057866184448463,750,410.1910400390625
"[1, 7, 5, 0.7408572550443745]",0.8869547778799123,0.8141048824593128,209,351.09195709228516
"[1, 8, 5.166402471727173, 0.34372489296008607]",0.8860683702242513,0.8198915009041592,136,385.7682602405548
"[1, 7, 5, 0.5222051883106602]",0.8875631941357564,0.8124773960216998,18,371.2101900577545
"[1, 8, 5, 0.4300600856661266]",0.8862654374694231,0.8189873417721519,442,317.30408120155334
"[1, 8, 5.407708157644808, 0.4958624620154029]",0.8867699836127453,0.8162748643761302,697,381.159147977829
"[1.0756072513670132, 8, 5, 0.48044450714946674]",0.8876807495885521,0.8077757685352622,525,383.5747890472412
"[1, 8, 5, 0.3545434906203501]",0.8843241116933928,0.8202531645569621,764,366.1671221256256
"[1, 8, 5, 0.42515665363016786]",0.8857368925123722,0.8168173598553345,485,339.93817710876465
"[1, 8, 5.106260395407439, 0.47904095851122513]",0.886519580267995,0.8180831826401447,824,353.8035168647766
"[1, 8, 5, 0.4627606928017809]",0.8863625743032038,0.8193490054249548,594,327.13708209991455
"[1, 8, 5, 0.36160269760041924]",0.8890852342936975,0.8066907775768535,745,341.83621406555176
"[1, 8, 5, 0.3494920552278989]",0.8857412703951606,0.8137432188065099,51,343.77521109580994
"[1, 8, 5, 0.3946206187189712]",0.8858774431760752,0.8240506329113924,768,346.64373302459717
"[1, 8, 5, 0.4094686152057536]",0.8862332259552913,0.818625678119349,732,382.43319511413574
"[1, 8, 5.266220943632641, 0.4554196188448256]",0.8857438382614843,0.8146473779385172,613,385.0787069797516
"[1, 8, 7.179463092964068, 0.4362010513758142]",0.8876080322105058,0.8108499095840868,590,378.03618693351746
"[1.0377935715168614, 8, 5, 0.4918478972523359]",0.8870260000802883,0.8164556962025317,792,386.6534061431885
"[1, 8, 5, 0.566199231983019]",0.886536946340271,0.8202531645569621,399,372.3045210838318
"[1, 7, 5, 0.6416634080080619]",0.886318863508182,0.8146473779385172,655,374.6310451030731
"[1, 8, 5.754133208997986, 0.45571884729682244]",0.8873004266515018,0.8144665461121158,100,374.44279313087463
"[1, 8, 5.06317638231411, 0.45997848637858096]",0.8885223631872293,0.8065099457504521,492,386.02388215065
"[1, 8, 6.250137549126684, 0.4980003674124247]",0.8892401789761885,0.8039783001808318,315,346.1462450027466
"[1, 7, 5, 0.46080700429629806]",0.8884080400485064,0.8081374321880651,896,337.18086075782776
"[1, 8, 10, 0.48166253969706635]",0.8876559830571207,0.8110307414104883,661,386.3792989253998
"[1, 8, 7.778353571084615, 0.48515173561325176]",0.8865672409016956,0.8148282097649187,101,384.85314321517944
"[1.0262263078496137, 6, 5, 0.4325775619394312]",0.8871328587818342,0.8142857142857143,455,327.85558581352234
"[1, 8, 5, 0.3843507682412647]",0.8870159453323665,0.8119349005424955,130,351.68479013442993
